title;main_story_length;mainextra_length;completionist_length;combined_length;platform
Ace Combat 2;4;;;;PlayStation 4
Ace Combat 3: Electrosphere;4.5;;;;PlayStation 4
Ace Combat 5: The Unsung War;6.5;;;;PlayStation 4
Ace Combat 6: Fires of Liberation;12;;;;PlayStation 4
Ace Combat Advance;;;;;PlayStation 4
Ace Combat Infinity;4;;;;PlayStation 4
Ace Combat X: Skies of Deception;4;;;;PlayStation 4
Ace Combat Zero: The Belkan War;4.5;;;;PlayStation 4
Ace Combat: Assault Horizon;8.5;;;;PlayStation 4
Ace Combat: Assault Horizon - Enhanced Edition;8;;;;PlayStation 4
Ace Combat: Assault Horizon Legacy;4.5;;;;PlayStation 4
Ace Combat: Joint Assault;7;;;;PlayStation 4
Ace Lightning;;;;;PlayStation 4
Ace Mathician;;;;;PlayStation 4
Ace of Aces;;;;;PlayStation 4
Ace of Protectors;;;;;PlayStation 4
Ace of Seafood;3.5;;;;PlayStation 4
Ace of Spades;;;;;PlayStation 4
Ace of Words;;;;;PlayStation 4
Ace Ventura: The CD-Rom Game;3;;;;PlayStation 4
Aces High III;;;;;PlayStation 4
Aces of the Galaxy;1;;;;PlayStation 4
Aces of the Luftwaffe;10.5;;;;PlayStation 4
Aces of the Pacific;;;;;PlayStation 4
Aces of the Pacific - WWII: 1946 - Expansion Disk;;;;;PlayStation 4
Aces of War;;;;;PlayStation 4
Aces Wild: Manic Brawling Action!;2.5;;;;PlayStation 4
Achievement Unlocked;0.31666666666666665;;;;PlayStation 4
Achievement Unlocked 2;0.8166666666666667;;;;PlayStation 4
Achievement Unlocked 3;2.5;;;;PlayStation 4
Achron;70;;;;PlayStation 4
Achtung Panzer: Kharkov 1943;;;;;PlayStation 4
Acid Drift: Solar;;;;;PlayStation 4
Acid Drop;;;;;PlayStation 4
Ack-Ack Attack!;;;;;PlayStation 4
Aconcagua;3.5;;;;PlayStation 4
Acorn Assault: Rodent Revolution;;;;;PlayStation 4
Acro Storm;;;;;PlayStation 4
Acrobat Mission;0.75;;;;PlayStation 4
Acrophobia;;;;;PlayStation 4
Across Age DX;;;;;PlayStation 4
Across The Line;;;;;PlayStation 4
Across The Moment;;;;;PlayStation 4
Across the Rhine;;;;;PlayStation 4
AcrossFlash;;;;;PlayStation 4
Act of Aggression;18.5;;;;PlayStation 4
Act of War: Direct Action;13.5;;;;PlayStation 4
Act of War: High Treason;;;;;PlayStation 4
Action 52;;;;;PlayStation 4
Action Alien;;;;;PlayStation 4
Action Bass;5.5;;;;PlayStation 4
Action Fighter;;;;;PlayStation 4
Action Fist;;;;;PlayStation 4
Action Henk;4;;;;PlayStation 4
Action Man: Destruction X;;;;;PlayStation 4
Action Man: Operation Extreme;;;;;PlayStation 4
Action Man: Raid on Island X;;;;;PlayStation 4
Action Man: Robot Atak;3;;;;PlayStation 4
Action Pachio;;;;;PlayStation 4
Activate the Three Artefacts and then Leave;3;;;;PlayStation 4
Activision Anthology;;;;;PlayStation 4
