title;main_story_length;mainextra_length;completionist_length;combined_length;platform
ADOM: Ancient Domains Of Mystery;;;;;PlayStation 3
Adorables;;;;;PlayStation 3
Adrenalin Misfits;;;;;PlayStation 3
Adrenaline Adventure;;;;;PlayStation 3
Adrenix;;;;;PlayStation 3
Adrift;4.5;;;;PlayStation 3
Advance Guardian Heroes;3;;;;PlayStation 3
Advance Wars;13;;;;PlayStation 3
Advance Wars 2: Black Hole Rising;27.5;;;;PlayStation 3
Advance Wars: Days of Ruin;19.5;;;;PlayStation 3
Advance Wars: Dual Strike;24.5;;;;PlayStation 3
Advanced Dungeons & Dragons: Heroes of the Lance;;;;;PlayStation 3
Advanced Dungeons & Dragons: Slayer;;;;;PlayStation 3
Advanced Dungeons & Dragons: Treasure of Tarmin;7.5;;;;PlayStation 3
Advanced Tactics: Gold;;;;;PlayStation 3
Advanced V.G. 2;0.25;;;;PlayStation 3
Advent;;;;;PlayStation 3
Advent Rising;8;;;;PlayStation 3
Adventure (1979);0.25;;;;PlayStation 3
Adventure (1982);;;;;PlayStation 3
Adventure Apes and the Mayan Mystery;;;;;PlayStation 3
