title;main_story_length;mainextra_length;completionist_length;combined_length;platform
A Detective's Novel;1.5;;;;PlayStation 2
A Druid's Duel;13;;;;PlayStation 2
A Duck Has An Adventure;;;;;PlayStation 2
A Fairy Tale;;;;;PlayStation 2
A Family of Grave Diggers;;;;;PlayStation 2
A Farewell to Dragons;;;;;PlayStation 2
A Fistful of Gun;3;;;;PlayStation 2
A Flipping Good Time;;;;;PlayStation 2
A Foretold Affair;4;;;;PlayStation 2
A Game of Changes;;;;;PlayStation 2
A Game of Dwarves;30;;;;PlayStation 2
A Game of Thrones: Genesis;11.5;;;;PlayStation 2
A Girls Fabric Face;;;;;PlayStation 2
A Goddess for Free;0.7166666666666667;;;;PlayStation 2
A Golden Wake;5;;;;PlayStation 2
A Goo Adventure;;;;;PlayStation 2
A Good Snowman is Hard to Build;1.5;;;;PlayStation 2
A Grande Bagunca Espacial - The Big Space Mess;;;;;PlayStation 2
A Hat in Time;8;;;;PlayStation 2
A Healer Only Lives Twice;3;;;;PlayStation 2
A Hole New World;;;;;PlayStation 2
A House of Many Doors;20;;;;PlayStation 2
A Jax;;;;;PlayStation 2
A Kappa's Trail;6;;;;PlayStation 2
A King's Tale: Final Fantasy XV;1.5;;;;PlayStation 2
A Kingdom for Keflings;6;;;;PlayStation 2
A Kiss for the Petals: Remembering How We Met;;;;;PlayStation 2
A Land Fit For Heroes;;;;;PlayStation 2
A Legend of Luca;;;;;PlayStation 2
A Lenda do Heroi;;;;;PlayStation 2
A Little Lily Princess;6.5;;;;PlayStation 2
A Lonely Moon;0.08333333333333333;;;;PlayStation 2
A Long Road Home;;;;;PlayStation 2
A Long Way Home;;;;;PlayStation 2
A Magical High School Girl;;;;;PlayStation 2
A Mind Forever Voyaging;;;;;PlayStation 2
A Mortician's Tale;0.9666666666666667;;;;PlayStation 2
A Mother's Inferno;0.25;;;;PlayStation 2
A Mysterious Thief;;;;;PlayStation 2
A Nation of Wind;;;;;PlayStation 2
A New Beginning;9;;;;PlayStation 2
A New Reckoning;0.25;;;;PlayStation 2
A Nightmare on Elm Street;2;;;;PlayStation 2
A Noble Circle;0.25;;;;PlayStation 2
A Normal Lost Phone;1.5;;;;PlayStation 2
A Number's life;;;;;PlayStation 2
A Pixel Story;;;;;PlayStation 2
A Princess' Tale;;;;;PlayStation 2
A Quiver of Crows;;;;;PlayStation 2
A Robot Named Fight!;;;;;PlayStation 2
A Rose in the Twilight;;;;;PlayStation 2
A Second Face;2.5;;;;PlayStation 2
A Sirius Game;;;;;PlayStation 2
A Sound of Thunder;4;;;;PlayStation 2
A Space Shooter For Two Bucks!;5.5;;;;PlayStation 2
A Step Into Darkness;;;;;PlayStation 2
A Story About My Uncle;3;;;;PlayStation 2
A Stroke of Fate: Operation Bunker;;;;;PlayStation 2
A Stroke of Fate: Operation Valkyrie;7;;;;PlayStation 2
A Study in Steampunk: Choice by Gaslight;;;;;PlayStation 2
A Sweet Meeting;;;;;PlayStation 2
A tale about life, death and a looser;;;;;PlayStation 2
A Tale of Caos: Overture;;;;;PlayStation 2
A Tale of Two Kingdoms;;;;;PlayStation 2
A Trip to Yugoslavia;;;;;PlayStation 2
A Truth to be Told;;;;;PlayStation 2
A Valley Without Wind;16.5;;;;PlayStation 2
A Valley Without Wind 2;9.5;;;;PlayStation 2
A Vampyre Story;7.5;;;;PlayStation 2
A Verdant Hue;;;;;PlayStation 2
A Virus Named Tom;4;;;;PlayStation 2
A Walk in the Dark;3;;;;PlayStation 2
A Way Out;;;;;PlayStation 2
A Week of Circus Terror;;;;;PlayStation 2
A Week of Garfield;1.5;;;;PlayStation 2
A Wild Catgirl Appears!;0.95;;;;PlayStation 2
A Wise Use of Time;5;;;;PlayStation 2
A Witch's Tale;16;;;;PlayStation 2
A Wizard's Lizard;1.5;;;;PlayStation 2
A Wizard's Odyssey;;;;;PlayStation 2
A Wolf in Autumn;0.6666666666666666;;;;PlayStation 2
A World of Keflings;7;;;;PlayStation 2
A World of Keflings - It Came From Outer Space;;;;;PlayStation 2
A World of Keflings - Sugar, Spice and Not So Nice;;;;;PlayStation 2
A World of Keflings - The Curse of the Zombiesaurus;;;;;PlayStation 2
A*M*E*R*I*C*A;;;;;PlayStation 2
A-10 Tank Killer;;;;;PlayStation 2
A-10 VR;;;;;PlayStation 2
A-Gents;;;;;PlayStation 2
A-Men;9;;;;PlayStation 2
A-Men 2;14;;;;PlayStation 2
A-Train;;;;;PlayStation 2
A-Train 3D: City Simulator;;;;;PlayStation 2
A-Train 6;;;;;PlayStation 2
A-Train 8;;;;;PlayStation 2
A-Train 9;;;;;PlayStation 2
A-Train 9 V4.0: Japan Rail Simulator;;;;;PlayStation 2
A-Train HX;;;;;PlayStation 2
A.D. 2044;;;;;PlayStation 2
A.I. Invasion;;;;;PlayStation 2
A.I. Space Corps;;;;;PlayStation 2
A.I.M. Racing;14;;;;PlayStation 2
A.I.M.2 Clan Wars;;;;;PlayStation 2
A.R.C. Squadron;3;;;;PlayStation 2
A.R.E.S. Extinction Agenda EX;4;;;;PlayStation 2
