title;main_story_length;mainextra_length;completionist_length;combined_length;platform
AaAaAA!!! - A Reckless Disregard for Gravity;5;;;;Xbox
AaaaAAaaaAAAaaAAAAaAAAAA!!! Force = Mass x Acceleration;;;;;Xbox
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome;4.5;;;;Xbox
Aaahh!!! Real Monsters;2.5;;;;Xbox
Aabs Animal;0.08333333333333333;;;;Xbox
Aaero;1.5;;;;Xbox
Aarklash: Legacy;16;;;;Xbox
Aaru's Awakening;2.5;;;;Xbox
Abadox: The Deadly Inner War;0.6333333333333333;;;;Xbox
Abalone;;;;;Xbox
Abandoned;0.9333333333333333;;;;Xbox
Abandoned Knight;;;;;Xbox
Abandoned Places 2;;;;;Xbox
Abandoned Places: A Time for Heroes;;;;;Xbox
Abandoned: Chestnut Lodge Asylum;;;;;Xbox
Abarenbou Princess;;;;;Xbox
ABC Coloring Town;1.5;;;;Xbox
Abducted;;;;;Xbox
Abduction Action! Plus;;;;;Xbox
Abduction Bit;;;;;Xbox
ABE VR;;;;;Xbox
Aberoth;;;;;Xbox
Able Black;;;;;Xbox
ABO MANDO;;;;;Xbox
Abobo's Big Adventure;1.5;;;;Xbox
Abode;0.75;;;;Xbox
Abomination Tower;;;;;Xbox
Abomination: The Nemesis Project;38;;;;Xbox
About a Fox;0.08333333333333333;;;;Xbox
About Elise;;;;;Xbox
About Love, Hate and the other ones;5.5;;;;Xbox
Above (2016);;;;;Xbox
ABRACA: Imagic Games;;;;;Xbox
Abrix for kids;;;;;Xbox
Abrix the Robot;;;;;Xbox
Absconding Zatwor;2;;;;Xbox
Absence;;;;;Xbox
Absent;4.5;;;;Xbox
Absoloot;;;;;Xbox
Absolute Drift;2;;;;Xbox
Absolver;;;;;Xbox
Abuse;;;;;Xbox
Abyss;1;;;;Xbox
Abyss Odyssey;4;;;;Xbox
Abyss Raiders: Uncharted;;;;;Xbox
Abyss: The Wraiths of Eden;3;;;;Xbox
ABZÃ;2;;;;Xbox
AC/DC Live: Rock Band Track Pack;4;;;;Xbox
Academagia;;;;;Xbox
Academagia: The Making of Mages;;;;;Xbox
Acan's Call: Act 1;;;;;Xbox
Accel World vs. Sword Art Online;25;;;;Xbox
Acceleration of Suguri X Edition;0.95;;;;Xbox
Acceptance (2016);;;;;Xbox
Access Denied;1;;;;Xbox
Accidental Runner;;;;;Xbox
Accounting (2016);0.4666666666666667;;;;Xbox
Ace;;;;;Xbox
ACE - Arena: Cyber Evolution;;;;;Xbox
ACE Academy;8;;;;Xbox
Ace Attorney Investigations: Miles Edgeworth;23.5;;;;Xbox
Ace Combat 04: Shattered Skies;4;;;;Xbox
Ace Combat 2;4;;;;Xbox
Ace Combat 3: Electrosphere;4.5;;;;Xbox
Ace Combat 5: The Unsung War;6.5;;;;Xbox
Ace Combat 6: Fires of Liberation;12;;;;Xbox
Ace Combat Advance;;;;;Xbox
Ace Combat Infinity;4;;;;Xbox
Ace Combat X: Skies of Deception;4;;;;Xbox
Ace Combat Zero: The Belkan War;4.5;;;;Xbox
Ace Combat: Assault Horizon;8.5;;;;Xbox
Ace Combat: Assault Horizon - Enhanced Edition;8;;;;Xbox
Ace Combat: Assault Horizon Legacy;4.5;;;;Xbox
Ace Combat: Joint Assault;7;;;;Xbox
Ace Lightning;;;;;Xbox
Ace Mathician;;;;;Xbox
Ace of Aces;;;;;Xbox
Ace of Protectors;;;;;Xbox
Ace of Seafood;3.5;;;;Xbox
Ace of Spades;;;;;Xbox
Ace of Words;;;;;Xbox
Ace Ventura: The CD-Rom Game;3;;;;Xbox
Aces High III;;;;;Xbox
Aces of the Galaxy;1;;;;Xbox
Aces of the Luftwaffe;10.5;;;;Xbox
Aces of the Pacific;;;;;Xbox
Aces of the Pacific - WWII: 1946 - Expansion Disk;;;;;Xbox
Aces of War;;;;;Xbox
Aces Wild: Manic Brawling Action!;2.5;;;;Xbox
Achievement Unlocked;0.31666666666666665;;;;Xbox
Achievement Unlocked 2;0.8166666666666667;;;;Xbox
Achievement Unlocked 3;2.5;;;;Xbox
Achron;70;;;;Xbox
Achtung Panzer: Kharkov 1943;;;;;Xbox
Acid Drift: Solar;;;;;Xbox
Acid Drop;;;;;Xbox
Ack-Ack Attack!;;;;;Xbox
Aconcagua;3.5;;;;Xbox
